Title,Artist,Plays,Album,Duration
0 To 100 / The Catch Up,Drake,5.00E+07,0 To 100 / The Catch Up,4:36
Way 2 S**y (feat. Future & Young Thug),Drake,2.04E+08,Certified Lover Boy,4:18
Jaded,Drake,4.00E+07,Scorpion,4:23
HYFR (Heck Ya F*cking Right) (feat. Lil Wayne),Drake,1.69E+08,Take Care (Explicit Deluxe),3:27
8am in Charlotte,Drake,1.80E+07,For All The Dogs,4:27
Another Late Night (feat. Lil Yachty),Drake,2.10E+07,For All The Dogs,2:51
Members Only (feat. PARTYNEXTDOOR),Drake,1.20E+07,For All The Dogs,4:38
Little Bit (feat. Lykke Li),Drake,1.50E+07,So Far Gone,3:51
Find Your Love,Drake,1.95E+08,Thank Me Later,3:29
Sticky,Drake,8.00E+07,"Honestly, Nevermind",4:04
Over My Dead Body,Drake,5.40E+07,Take Care (Explicit Deluxe),4:33
Massive,Drake,4.30E+07,"Honestly, Nevermind",5:37
All Me (feat. 2 Chainz & Big Sean),Drake,8.00E+07,Nothing Was The Same (Deluxe),4:32
Jumbotron Sh*t Poppin,Drake,3.80E+07,Her Loss,2:18
Yes Indeed,Lil Baby & Drake,3.13E+08,Harder Than Ever,2:23
Crew Love (feat. The Weeknd),Drake,9.40E+07,Take Care (Explicit Deluxe),3:29
Time Flies,Drake,5.30E+07,Dark Lane Demo Tapes,3:13
Fake Love,Drake,7.50E+07,More Life,3:31
Jungle,Drake,4.60E+07,If You're Reading This It's Too Late,5:21
On The Radar Freestyle,Drake & Central Cee,2.20E+07,On The Radar Freestyle,4:36
Over,Drake,2.14E+08,Over,3:55
Jumpman,Drake & Future,3.30E+07,What A Time To Be Alive,3:26
Never Recover,"Lil Baby, Gunna & Drake",8.00E+07,Drip Harder,3:15
Make Me Proud (feat. Nicki Minaj),Drake,8.30E+07,Take Care (Deluxe),3:40
Hours In Silence,Drake & 21 Savage,2.70E+07,Her Loss,6:40
What Would Pluto Do,Drake,1.00E+07,For All The Dogs,3:03
Polar Opposites,Drake,1.20E+07,For All The Dogs,4:18
Gently (feat. Bad Bunny),Drake,2.60E+07,For All The Dogs,2:14
Mob Ties,Drake,1.04E+08,Scorpion,3:26
Wasting Time,Brent Faiyaz & Drake,3.40E+07,Wasting Time,5:01
Come Thru,Drake,6.40E+07,Nothing Was The Same (Deluxe),3:57
No Friends In The Industry,Drake,4.60E+07,Certified Lover Boy,3:25
Unforgettable (feat. Young Jeezy),Drake,2.80E+07,Thank Me Later,3:34
War,Drake,8.40E+07,Dark Lane Demo Tapes,3:00
Doing It Wrong,Drake,4.80E+07,Take Care (Deluxe),4:26
Flight's Booked,Drake,1.80E+07,"Honestly, Nevermind",4:15
I'm Upset,Drake,2.16E+08,Scorpion,3:35
We Caa Done (feat. Drake),Popcaan & Drake,2.10E+07,Great Is He,4:06
Worst Behavior,Drake,2.11E+08,Nothing Was The Same,4:31
Sneakin’ (feat. 21 Savage),Drake,8.90E+07,Sneakin’,4:12
On BS,Drake & 21 Savage,3.80E+07,Her Loss,4:22
Miss Me (feat. Lil Wayne),Drake,1.23E+08,Thank Me Later,5:06
Lemon Pepper Freestyle (feat. Rick Ross),Drake,7.40E+07,Scary Hours 2,6:24
5 Am in Toronto,Drake,4.40E+07,Care Package,3:26
Shut It Down (feat. The-Dream),Drake,3.10E+07,Thank Me Later,7:00
Champagne Poetry,Drake,5.90E+07,Certified Lover Boy,5:37
Finesse,Drake,1.60E+07,Scorpion,3:03
10 Bands,Drake,1.80E+07,If You're Reading This It's Too Late,2:58
Pipe Down,Drake,2.70E+07,Certified Lover Boy,3:26
What’s Next,Drake,8.70E+07,Scary Hours 2,2:59
Know Yourself,Drake,3.20E+07,If You're Reading This It's Too Late,4:36
The Resistance,Drake,2.00E+07,Thank Me Later,3:46
Drew A Picasso,Drake,8.30E+06,For All The Dogs,4:23
Look What You've Done,Drake,2.20E+07,Take Care (Deluxe),5:02
Get It Together (feat. Black Coffee & Jorja Smith),Drake,2.50E+07,More Life,4:11
Yebba’s Heartbreak,Drake & Yebba,1.30E+07,Certified Lover Boy,2:14
Pain 1993 (feat. Playboi Carti),Drake,3.90E+07,Dark Lane Demo Tapes,2:30
I'm Goin In (feat. Lil Wayne & Young Jeezy),Drake,2.50E+07,I'm Goin In,3:46
Buried Alive Interlude (feat. Kendrick Lamar),Drake,4.90E+06,Take Care (Deluxe),2:31
Tried Our Best,Drake,8.00E+06,For All The Dogs,3:30
Wu-Tang Forever,Drake,4.10E+07,Nothing Was The Same,3:38
Up All Night (feat. Nicki Minaj),Drake,4.80E+07,Thank Me Later,3:55
Can I,Drake,1.50E+07,Care Package,3:10
How Bout Now,Drake,2.60E+07,Care Package,3:56
Not You Too (feat. Chris Brown),Drake,2.70E+06,Dark Lane Demo Tapes,4:30
Calling For You (feat. 21 Savage),Drake,1.10E+07,For All The Dogs,4:46
Bahamas Promises,Drake,7.80E+06,For All The Dogs,3:05
Don’t Matter To Me (feat. Michael Jackson),Drake,2.30E+07,Scorpion,4:06
Seeing Green,"Nicki Minaj, Drake & Lil Wayne",3.70E+07,Queen Radio: Volume 1,5:40
Uptown (feat. Bun B & Lil Wayne),Drake,3.90E+07,So Far Gone,6:23
Circo Loco,Drake & 21 Savage,2.20E+07,Her Loss,3:57
TSU,Drake,2.90E+07,Certified Lover Boy,5:09
Digital Dash,Drake & Future,1.90E+07,What A Time To Be Alive,3:52
Love All (feat. JAY-Z),Drake,3.50E+07,Certified Lover Boy,3:49
Major Distribution,Drake & 21 Savage,2.70E+07,Her Loss,2:51
Privileged Rappers,Drake & 21 Savage,3.00E+07,Her Loss,2:41
Successful (feat. Trey Songz & Lil Wayne),Drake,3.00E+07,So Far Gone,6:16
Portland (feat. Quavo & Travi$ Scott),Drake,3.20E+07,More Life,3:57
Blem,Drake,2.40E+07,More Life,3:37
Gyalchester,Drake,2.10E+07,More Life,3:10
Daylight,Drake,8.30E+06,For All The Dogs,2:45
Live From The Gutter,Drake & Future,1.00E+07,What A Time To Be Alive,3:32
Fountains (feat. Tems),Drake,2.30E+07,Certified Lover Boy,3:13
A Keeper,Drake,1.10E+07,"Honestly, Nevermind",2:54
No Tellin',Drake,1.90E+07,If You're Reading This It's Too Late,5:11
Tuscan Leather,Drake,2.00E+07,Nothing Was The Same,6:07
Star67,Drake,1.30E+07,If You're Reading This It's Too Late,4:55
Away From Home,Drake,5.90E+06,For All The Dogs,4:19
Legend,Drake,1.90E+07,If You're Reading This It's Too Late,4:02
Emotionless,Drake,1.60E+07,Scorpion,5:03
Red Button,Drake,3.20E+06,For All The Dogs Scary Hours Edition,2:41
Scholarships,Drake & Future,1.30E+07,What A Time To Be Alive,3:30
Under Ground Kings,Drake,2.00E+07,Take Care (Deluxe),3:33
